circuit_id,circuit_description,chat_question,agent_question,same_initial_question,component_count,node_count,component_type_count,component_types,analysis_types,has_integrated_circuit,integrated_circuit_models
b03,,"Voglio verificare tutti e tre i LED: prova batteria scarica, normale e carica, poi fai una rampa di tensione per vedere come si accendono e spengono nel tempo.",Voglio capire se il monitor della batteria funziona correttamente quando la batteria passa da scarica a carica. Verifica autonomamente tutti e tre i LED e mostrami anche come cambia l’indicazione nel tempo mentre la tensione aumenta.,false,22,17,5,Battery|Diode|LED|NPN_Transistor|Resistor,op|tran,false,
b04,,"Ho l’impressione che la batteria si carichi poco. Se fosse più scarica, il caricabatteria dovrebbe darle più corrente?","Ho l’impressione che la batteria si carichi poco. Se fosse più scarica, il caricabatteria dovrebbe darle più corrente?",true,18,13,6,Diode|Fuse|NPN_Transistor|Resistor|Terminal|Transformer,op|tran,false,
b05,,"Ho montato il circuito, ma nelle cuffie non si sente nulla. Da cosa potrebbe dipendere?","Ho montato il circuito, ma nelle cuffie non si sente nulla. Da cosa potrebbe dipendere?",true,16,9,10,Antenna|Battery|Breaker|Diode|GND|Inductor|PNP_Transistor|Polarized_Capacitor|Resistor|Switch,op|tran,false,
b06,,"La radio si accende, ma dall’altoparlante non si sente nulla. Quale potrebbe essere il problema?","La radio si accende, ma dall’altoparlante non si sente nulla. Quale potrebbe essere il problema?",true,18,11,11,Antenna|Battery|Breaker|Diode|GND|Inductor|NPN_Transistor|Operational_Amplifier|Polarized_Capacitor|Resistor|Switch,op|tran,false,
b10,,"Su A leggo 1 V, ma su B leggo quasi zero. È normale o c’è qualcosa che non va?","Su A leggo 1 V, ma su B leggo quasi zero. È normale o c’è qualcosa che non va?",true,17,6,7,Current_Source|GND|Polarized_Capacitor|Resistor|Switch|Terminal|Voltage_Source,op|tran,false,
c02,,"Ho montato questo circuito per far lampeggiare alternativamente i due LED, ma sembrano restare entrambi accesi senza alternarsi. Quale potrebbe essere il problema?","Ho montato questo circuito per far lampeggiare alternativamente i due LED, ma sembrano restare entrambi accesi senza alternarsi. Quale potrebbe essere il problema?",true,11,8,5,Battery|LED|NPN_Transistor|Polarized_Capacitor|Resistor,op|tran,false,
c03,,"L’amplificatore si accende e dall’altoparlante si sente il segnale, ma il volume è molto basso. Quale potrebbe essere il problema?","L’amplificatore si accende e dall’altoparlante si sente il segnale, ma il volume è molto basso. Quale potrebbe essere il problema?",true,21,10,6,GND|Operational_Amplifier|Polarized_Capacitor|Resistor|Speaker|Terminal,op|tran,false,
ic01,,"Nella simulazione il LED commuta, ma il lampeggio non risulta regolare durante l’avvio. Quale potrebbe essere il problema e come posso risolverlo?","Nella simulazione il LED commuta, ma il lampeggio non risulta regolare durante l’avvio. Quale potrebbe essere il problema e come posso risolverlo?",true,10,7,6,Capacitor|GND|Integrated_Circuit|LED|Resistor|Terminal,tran,true,TLC555_6
ic02,,"L’audio si sente ma il volume è troppo basso. Quali controlli e prove posso fare, senza modificare il segnale di ingresso, per capire la causa e aumentare il volume?","L’audio si sente ma il volume è troppo basso. Quali controlli e prove posso fare, senza modificare il segnale di ingresso, per capire la causa e aumentare il volume?",true,29,12,7,Fuse|GND|Integrated_Circuit|Polarized_Capacitor|Resistor|Speaker|Terminal,op|tran,true,LM1875_0
ic03,,La lampada lampeggia troppo velocemente e i singoli lampi sono difficili da distinguere. Quale parte del circuito conviene controllare?,La lampada lampeggia troppo velocemente e i singoli lampi sono difficili da distinguere. Quale parte del circuito conviene controllare?,true,13,7,7,GND|Integrated_Circuit|Lamp|Polarized_Capacitor|Resistor|Switch|Terminal,tran,true,LM317_TRANS
ic04,,"La sirena suona, ma sembra emettere quasi sempre lo stesso tono. Cosa posso controllare per rendere più evidente il cambio di suono?","La sirena suona, ma sembra emettere quasi sempre lo stesso tono. Cosa posso controllare per rendere più evidente il cambio di suono?",true,15,11,7,GND|Integrated_Circuit|LED|Polarized_Capacitor|Resistor|Speaker|Terminal,tran,true,TLC555_6
